incident_id,sensor_id,work_status,location_info_x,location_info_y,collect_time,air_temperature(°C),humidity(volume %),photosynthetic_effect(μmol/m²/s),atmo_pressure(Pa),light_sensor(Lux),min_wind_dir(°),max_wind_dir(°),avg_wind_dir(°),min_wind_speed(m/s),max_wind_speed(m/s),avg_wind_speed(m/s),rainfall(mm),rainfall_time(min),rainfall_extent(mm),max_rainfall_extent(mm),heat_temparature(°C),toppling_condition,co2_concentration(ppm)
1,311,1,87.30584,44.2181,202407011851,29.94,44.47,912,94660,73950,67.8,75.7,71,1.2,2.8,2,175.6,8740,0,0,31.78,0,404
2,311,1,87.30584,44.2181,202407011953,29.87,43.26,585,94620,55105,71.5,108.7,100.3,0.9,1.7,1.3,175.6,8740,0,0,32.75,0,403
3,311,1,87.30584,44.2181,202407012055,29.02,46.29,108,94520,8905,90,99,93.8,1.5,2,1.8,175.6,8740,0,0,29.94,0,405
4,311,1,87.30584,44.2181,202407012156,26.02,58.88,49,94510,3450,51.3,53.7,52.5,0.4,0.8,0.6,175.6,8740,0,0,26.65,0,438
5,311,1,87.30584,44.2181,202407012258,24.64,63.1,0,94510,60,90,99.4,96.9,0.6,1,0.8,175.6,8740,0,0,24.63,0,434
6,311,1,87.30584,44.2181,202407012359,23.14,69.92,0,94540,0,96.2,104.3,99.9,0.8,1.1,0.9,175.6,8740,0,0,23.29,0,463
7,311,1,87.30584,44.2181,202407020101,23.29,64.73,0,94520,0,98.1,103.3,100.7,0.8,1,0.9,175.6,8740,0,0,23.29,0,453
8,311,1,87.30584,44.2181,202407020203,22.51,67.67,0,94540,0,90,90,90,0.7,0.8,0.7,175.6,8740,0,0,22.98,0,497
9,311,1,87.30584,44.2181,202407020304,21.82,67.7,0,94570,0,80.5,80.5,80.5,0,0,0,175.6,8740,0,0,22.17,0,519
10,311,1,87.30584,44.2181,202407020406,21.42,71.89,0,94600,0,218.6,218.6,218.6,0.6,0.7,0.7,175.6,8740,0,0,21.84,0,599
11,311,1,87.30584,44.2181,202407020507,21.1,74.87,0,94680,0,257.7,266.8,261.1,2.6,3.8,3.1,175.6,8740,0,0,21.05,0,466
12,311,1,87.30584,44.2181,202407020609,21.88,70.81,0,94720,0,265.9,294.1,280.6,1.7,2.7,2.1,175.6,8740,0,0,21.84,0,418
13,311,1,87.30584,44.2181,202407020710,21.59,71.11,0,94710,15,270,270,270,0.4,0.7,0.5,175.6,8740,0,0,21.83,0,435
14,311,1,87.30584,44.2181,202407020812,20.75,75.73,45,94670,2910,257.8,283.2,264,1.2,2,1.7,175.6,8740,0,0,20.84,0,430
15,311,1,87.30584,44.2181,202407020913,22.3,73.06,249,94740,11560,256.6,282.9,273.4,1.5,2.9,2.3,175.6,8740,0,0,22.61,0,408
16,311,1,87.30584,44.2181,202407021015,22.91,69.39,228,94770,28045,276.4,298.6,285.9,3.3,5,4.5,175.6,8740,0,0,23.27,0,400
