treatment,1.5m*2.05m,total_boll_count(Including Open and Unopened Bolls),number_of_open_cotton_bolls,number_of_unopened_bolls,seed_cotton_weight(kg)(Fiber + Seed)(Rounded to 2 Decimal Places),lint_cotton_weight(kg)(Cotton Fiber)(Rounded to 2 Decimal Places),number_of_plants,Lint_cotton_yield (kg/Hectare),lint_cotton_yield_average(kg/Hectare),lint_cotton_yield(kg/mu),lint_cotton_yield_average(kg/mu),seed_cotton_yield(kg/Hectare),seed_cotton_yield_average(kg/Hectare),seed_cotton_yield(kg/mu),seed_cotton_yield_average(kg/mu) 
Z1,Quadrat1(1-1),669,628,41,3.34,1.52,74,4943.09,4487.80,329.54,299.19,10861.79,9756.10,724.12,650.41
Z1,Quadrat2(1-2),604,591,13,3.00,1.36,57,4422.76,,294.85,,9756.10,,650.41,
Z1,Quadrat3(1-3),602,544,58,2.66,1.26,84,4097.56,,273.17,,8650.41,,576.69,
Z2,Quadrat1(2-1),573,548,25,3.04,1.42,75,4617.89,4531.17,307.86,302.08,9886.18,9712.74,659.08,647.52
Z2,Quadrat2(2-2),559,544,15,3.06,1.44,76,4682.93,,312.20,,9951.22,,663.41,
Z2,Quadrat3(2-3),565,541,24,2.86,1.32,74,4292.68,,286.18,,9300.81,,620.05,
Z3,Quadrat1(3-1),459,435,24,2.02,0.96,72,3121.95,3273.71,208.13,218.25,6569.11,6872.63,437.94,458.18
Z3,Quadrat2(3-2),521,474,47,2.40,1.08,84,3512.20,,234.15,,7804.88,,520.33,
Z3,Quadrat3(3-3),487,468,19,1.92,0.98,63,3186.99,,212.47,,6243.90,,416.26,
Z4,Quadrat1(4-1),506,499,7,2.38,1.12,87,3642.28,3620.60,242.82,241.37,7739.84,7848.24,515.99,523.22
Z4,Quadrat2(4-2),531,513,18,2.56,1.18,82,3837.40,,255.83,,8325.20,,555.01,
Z4,Quadrat3(4-3),486,473,13,2.30,1.04,66,3382.11,,225.47,,7479.67,,498.64,
Z5,Quadrat1(5-1),479,463,16,2.32,1.10,65,3577.24,3447.15,238.48,229.81,7544.72,7414.63,502.98,494.31
Z5,Quadrat2(5-2),502,480,22,2.28,1.04,66,3382.11,,225.47,,7414.63,,494.31,
Z5,Quadrat3(5-3),512,500,12,2.24,1.04,70,3382.11,,225.47,,7284.55,,485.64,
Z6,Quadrat1(6-1),598,562,36,2.84,1.28,76,4162.60,3989.16,277.51,265.94,9235.77,8628.73,615.72,575.25
Z6,Quadrat2(6-2),516,496,20,2.48,1.18,79,3837.40,,255.83,,8065.04,,537.67,
Z6,Quadrat3(6-3),583,548,35,2.64,1.22,67,3967.48,,264.50,,8585.37,,572.36,
M6,Quadrat1(6-1),435,427,8,2.20,1.02,63,3317.07,3208.67,221.14,213.91,7154.47,6699.19,476.96,446.61
M6,Quadrat2(6-2),417,406,11,2.10,1.04,67,3382.11,,225.47,,6829.27,,455.28,
M6,Quadrat3(6-3),363,362,1,1.88,0.90,76,2926.83,,195.12,,6113.82,,407.59,
M1,Quadrat1(1-1),540,523,17,2.74,1.26,69,4097.56,3403.79,273.17,226.92,8910.57,7566.40,594.04,504.43
M1,Quadrat2(1-2),477,464,13,2.20,0.96,57,3121.95,,208.13,,7154.47,,476.96,
M1,Quadrat3(1-3),443,436,7,2.04,0.92,60,2991.87,,199.46,,6634.15,,442.28,
M2,Quadrat1(2-1),372,356,16,1.66,0.76,61,2471.54,3165.31,164.77,211.02,5398.37,6829.27,359.89,455.28
M2,Quadrat2(2-2),355,335,20,1.96,0.92,73,2991.87,,199.46,,6373.98,,424.93,
M2,Quadrat3(2-3),580,556,24,2.68,1.24,71,4032.52,,268.83,,8715.45,,581.03,
M3,Quadrat1(3-1),490,470,20,2.60,1.28,77,4162.60,4249.32,277.51,283.29,8455.28,9062.33,563.69,604.16
M3,Quadrat2(3-2),558,551,7,2.76,1.26,69,4097.56,,273.17,,8975.61,,598.37,
M3,Quadrat3(3-3),513,504,9,3.00,1.38,76,4487.80,,299.19,,9756.10,,650.41,
M4,Quadrat1(4-1),512,480,32,2.28,1.00,61,3252.03,3165.31,216.80,211.02,7414.63,7089.43,494.31,472.63
M4,Quadrat2(4-2),488,473,15,2.18,0.98,63,3186.99,,212.47,,7089.43,,472.63,
M4,Quadrat3(4-3),452,436,16,2.08,0.94,61,3056.91,,203.79,,6764.23,,450.95,
M5,Quadrat1(5-1),578,575,3,2.98,1.36,83,4422.76,3382.11,294.85,225.47,9691.06,8542.01,646.07,569.47
M5,Quadrat2(5-2),675,671,4,2.56,0.64,75,2081.30,,138.75,,8325.20,,555.01,
M5,Quadrat3(5-3),458,451,7,2.34,1.12,50,3642.28,,242.82,,7609.76,,507.32,
