date,loc_x,loc_y,soil_humidity(%),soil_temperature(°C),rain(mm/day),wind(km/d),daily_mean_temperature(°C),srad(MJ/(m2*day)),irrigation_amount(m3/mu),days_since_irrigation
2024-07-01,87.2998,44.21342,27.883333333333336,24.75,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29982,44.2134,26.96666666666667,25.7,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29983,44.21354,23.53333333333333,25.3,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29983,44.21361,24.650000000000002,24.28333333333333,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29984,44.21345,28.316666666666666,24.75,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29986,44.21342,29.54,25.06,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29986,44.21357,21.566666666666666,26.349999999999998,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29989,44.21343,23.933333333333334,24.516666666666666,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29989,44.21362,19.240000000000002,26.78,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29991,44.2134,28.733333333333334,26.2,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29992,44.21353,23.0,25.616666666666664,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29992,44.2136,22.34,26.22,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29993,44.21346,27.225,25.75,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29994,44.21343,26.116666666666664,26.650000000000002,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29996,44.21353,26.383333333333336,25.833333333333332,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29997,44.2136,22.866666666666664,26.316666666666666,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29998,44.21342,26.266666666666666,27.316666666666666,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29999,44.21353,20.283333333333335,26.599999999999998,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.29999,44.21361,20.22,25.919999999999998,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30001,44.21344,26.82,25.119999999999997,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30002,44.21356,25.150000000000002,24.333333333333332,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30004,44.21342,27.566666666666666,25.166666666666668,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30005,44.21351,11.683333333333332,26.2,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30006,44.21342,27.616666666666664,25.099999999999998,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30006,44.21351,26.060000000000002,25.939999999999998,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30009,44.21338,25.54,26.339999999999996,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30009,44.21343,21.599999999999998,27.866666666666664,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30009,44.2136,18.166666666666668,26.066666666666666,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.3001,44.21356,17.416666666666668,26.416666666666668,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30012,44.2134,15.15,27.566666666666666,0.0,-99.0,27.8,20.2,0.0,2
2024-07-01,87.30014,44.21351,19.683333333333334,26.483333333333334,0.0,-99.0,27.8,20.2,0.0,2
