process_batch,irrigation_time,reproductive_period,plant_variety,irrigation_amount(m3/mu),N(kg/hm2),P2O5(kg/hm2),K2O(kg/hm2),12%N_30%P_30%K,seed_cotton_yield(kg/mu),lint_production(kg/mu)
T1,20240501,Seedling Stage,cotton,30.0,0.00,0.00,0.00,-,632.41,338.54
T1,20240609,Bud Stage,cotton,26.66,15.20,6.86,7.65,-,632.41,338.54
T1,20240619,Bud Stage,cotton,27.92,8.24,5.72,3.83,-,632.41,338.54
T1,20240629,Bud Stage,cotton,29.88,24.71,17.16,11.48,-,632.41,338.54
T1,20240709,Flowering and Boll Stage,cotton,37.29,45.60,33.55,18.36,-,632.41,338.54
T1,20240714,Flowering and Boll Stage,cotton,23.54,45.60,33.55,18.36,-,632.41,338.54
T1,20240724,Flowering and Boll Stage,cotton,51.65,45.60,33.55,18.36,-,632.41,338.54
T1,20240730,Flowering and Boll Stage,cotton,35.77,53.20,70.91,61.20,-,632.41,338.54
T1,20240809,Flowering and Boll Stage,cotton,36.82,15.20,27.45,13.77,-,632.41,338.54
T1,20240817,Flowering and Boll Stage,cotton,39.9,0.00,0.00,0.00,-,632.41,338.54
T1,20240823,Flowering and Boll Stage,cotton,24.35,0.00,0.00,0.00,-,632.41,338.54
T1,20240825,Flowering and Boll Stage,cotton,0.0,0.00,0.00,0.00,-,632.41,338.54
T2,20240501,Seedling Stage,cotton,25.8,0.00,0.00,0.00,-,597.28,263.66
T2,20240609,Bud Stage,cotton,10.0,16.00,11.00,11.00,-,597.28,263.66
T2,20240619,Bud Stage,cotton,24.0,25.00,18.00,18.00,-,597.28,263.66
T2,20240629,Bud Stage,cotton,38.0,27.00,20.00,14.00,-,597.28,263.66
T2,20240709,Flowering and Boll Stage,cotton,28.0,33.00,26.00,26.00,-,597.28,263.66
T2,20240714,Flowering and Boll Stage,cotton,20.0,41.00,30.00,30.00,-,597.28,263.66
T2,20240724,Flowering and Boll Stage,cotton,22.0,53.00,22.00,22.00,-,597.28,263.66
T2,20240730,Flowering and Boll Stage,cotton,36.0,53.00,22.00,22.00,-,597.28,263.66
T2,20240809,Flowering and Boll Stage,cotton,30.0,0.00,0.00,0.00,-,597.28,263.66
T2,20240817,Flowering and Boll Stage,cotton,42.0,22.00,23.00,15.00,-,597.28,263.66
T2,20240823,Flowering and Boll Stage,cotton,20.0,0.00,0.00,0.00,-,597.28,263.66
T2,20240825,Flowering and Boll Stage,cotton,0.0,0.00,0.00,0.00,-,597.28,263.66
T3,20240501,Seedling Stage,cotton,34.88,0.98,0.73,0.77,-,645.85,335.04
T3,20240601,Bud Stage,cotton,29.07,0.00,0.00,0.00,-,645.85,335.04
T3,20240612,Bud Stage,cotton,43.02,8.13,5.75,3.26,-,645.85,335.04
T3,20240623,Bud Stage,cotton,37.21,7.21,4.90,3.90,-,645.85,335.04
T3,20240702,Flowering and Boll Stage,cotton,40.7,0.00,0.00,0.00,-,645.85,335.04
T3,20240712,Flowering and Boll Stage,cotton,40.7,23.18,19.82,12.68,-,645.85,335.04
T3,20240719,Flowering and Boll Stage,cotton,34.88,14.82,9.57,3.24,-,645.85,335.04
T3,20240726,Flowering and Boll Stage,cotton,34.88,22.39,11.98,6.71,-,645.85,335.04
T3,20240802,Flowering and Boll Stage,cotton,23.26,11.80,16.31,16.57,-,645.85,335.04
T3,20240810,Flowering and Boll Stage,cotton,31.4,10.06,12.85,8.58,-,645.85,335.04
T3,20240819,Flowering and Boll Stage,cotton,29.07,6.24,11.28,5.67,-,645.85,335.04
T3,20240829,Flowering and Boll Stage,cotton,26.74,0.00,0.00,0.00,-,645.85,335.04
Tw,20240501,Seedling Stage,cotton,30.0,0.00,0.00,0.00,-,501.3,231.06
Tw,20240609,Bud Stage,cotton,22.0,16.00,11.00,11.00,-,501.3,231.06
Tw,20240619,Bud Stage,cotton,22.0,25.00,18.00,18.00,-,501.3,231.06
