date,rain(mm/day),wind(km/d),daily_mean_temperature(°C),tmax(°C),tmin(°C),srad(MJ/(m2*day))
19810101,0.0,0.0,-17.8,-11.9,-22.0,5.98
19810102,0.0,0.3,-15.6,-7.5,-22.1,6.77
19810103,0.0,0.8,-16.4,-8.1,-20.9,6.95
19810104,0.0,0.5,-16.9,-6.9,-21.4,6.91
19810105,0.0,1.0,-13.4,-6.4,-19.1,6.86
19810106,0.0,1.3,-14.6,-6.6,-19.7,6.9
19810107,0.0,0.3,-14.9,-8.4,-20.4,2.29
19810108,0.0,0.5,-17.1,-8.8,-20.9,6.89
19810109,0.0,0.3,-17.2,-9.1,-21.5,7.41
19810110,0.0,0.5,-15.1,-4.4,-20.1,7.86
19810111,0.0,1.8,-16.8,-10.0,-21.3,7.59
19810112,0.1,1.3,-16.2,-9.4,-21.7,7.56
19810113,0.0,1.0,-13.6,-7.6,-20.2,7.77
19810114,0.0,0.8,-11.4,-6.3,-17.0,6.93
19810115,0.0,0.8,-9.5,-4.6,-17.3,4.59
19810116,0.1,1.3,-4.5,-2.5,-6.7,4.8
19810117,0.1,0.5,-4.9,-3.0,-6.0,2.5
19810118,0.1,1.3,-5.2,-2.3,-6.5,6.73
19810119,0.2,1.8,-6.9,-3.8,-9.4,2.55
19810120,1.0,2.0,-12.9,-8.9,-15.0,2.58
19810121,1.4,1.5,-12.2,-10.7,-14.6,2.61
19810122,0.1,0.5,-19.8,-11.5,-24.7,8.53
19810123,0.1,0.5,-23.0,-17.5,-28.5,8.34
19810124,0.1,0.5,-26.9,-19.9,-32.0,8.33
19810125,0.1,0.5,-28.2,-21.3,-34.4,8.76
19810126,0.0,1.0,-26.4,-18.2,-31.9,9.2
19810127,0.0,2.3,-24.5,-17.5,-30.8,9.29
19810128,0.0,0.5,-24.4,-16.4,-31.1,9.83
19810129,0.0,0.8,-17.7,-12.1,-26.9,4.34
19810130,0.0,2.3,-20.2,-12.5,-24.1,9.65
19810131,0.0,0.5,-20.8,-12.0,-26.8,9.84
19810201,0.0,1.0,-20.7,-13.4,-24.9,9.75
19810202,0.0,0.5,-19.2,-11.4,-26.1,10.13
19810203,0.0,0.3,-15.4,-7.4,-21.8,7.74
19810204,0.0,0.5,-15.6,-7.7,-23.4,10.91
19810205,0.0,0.8,-13.9,-4.7,-20.5,3.14
19810206,0.0,0.5,-12.0,-4.9,-19.3,10.93
19810207,0.0,0.8,-11.7,-7.0,-18.0,11.24
19810208,0.1,0.3,-11.0,-5.7,-18.2,11.05
19810209,0.1,0.5,-12.5,-7.7,-16.8,6.74
19810210,0.1,1.0,-12.9,-7.4,-18.5,10.57
19810211,0.0,0.3,-8.8,-0.3,-17.3,10.16
19810212,0.0,1.0,-9.3,-3.6,-14.0,11.92
19810213,1.2,0.5,-5.0,1.4,-9.2,7.56
19810214,0.0,1.5,-6.7,-2.4,-13.1,8.38
19810215,2.2,0.8,-6.5,-4.2,-9.0,3.59
19810216,0.7,0.5,-7.5,-5.4,-11.3,3.64
19810217,0.1,0.8,-10.5,-7.4,-12.0,6.7
19810218,0.8,0.5,-11.0,-7.5,-14.2,3.73
19810219,0.0,1.8,-16.4,-5.4,-22.6,13.43
19810220,0.0,0.5,-17.0,-8.9,-24.5,10.8
19810221,0.2,1.3,-15.5,-10.7,-21.9,10.01
19810222,0.1,0.5,-18.2,-10.7,-25.7,14.38
19810223,0.1,1.8,-22.4,-15.4,-28.3,13.72
19810224,0.1,0.5,-21.7,-14.4,-28.3,12.14
19810225,0.0,0.8,-17.5,-9.9,-25.6,9.96
19810226,0.0,0.3,-11.8,-7.4,-16.4,14.0
19810227,0.0,0.8,-16.6,-8.7,-23.3,14.83
19810228,0.0,1.5,-15.6,-7.9,-21.2,14.85
19810301,0.1,1.3,-7.8,0.7,-17.3,9.04
19810302,0.0,1.3,-8.0,-1.1,-12.4,16.19
19810303,0.1,1.8,-10.7,-3.8,-15.9,8.5
19810304,0.0,1.0,-12.2,-5.8,-17.6,15.63
19810305,0.1,1.5,-8.3,-4.9,-11.7,15.76
19810306,0.0,2.0,-2.1,6.2,-9.9,7.64
19810307,0.1,1.8,1.7,5.0,-0.7,17.4
19810308,0.0,1.0,-1.4,2.7,-3.5,6.67
19810309,0.0,1.5,-0.4,2.4,-1.3,10.13
19810310,0.0,0.3,0.0,2.1,-1.3,4.78
19810311,0.0,1.5,0.5,5.7,-1.5,8.79
19810312,0.0,1.5,1.9,6.9,-3.1,17.47
19810313,0.0,0.5,1.5,6.9,-2.8,17.87
19810314,0.0,1.0,2.1,8.4,-2.5,18.4
19810315,0.0,1.8,4.4,11.7,-1.6,18.54
19810316,0.0,0.8,5.8,12.9,0.3,18.15
19810317,0.1,1.8,4.9,11.2,-0.1,12.72
19810318,0.3,2.3,4.9,12.5,-2.0,17.89
19810319,0.1,1.5,5.6,10.6,3.1,10.63
19810320,0.0,1.5,5.7,11.1,0.1,7.34
19810321,0.1,1.5,5.5,8.4,4.1,5.37
19810322,13.9,2.0,2.1,6.1,0.4,6.38
19810323,0.0,2.0,1.7,6.2,-2.4,19.21
19810324,0.0,1.3,2.8,9.7,-3.2,20.58
19810325,0.1,2.3,4.3,10.7,-0.9,11.28
19810326,0.9,1.5,7.4,11.9,2.8,20.99
19810327,0.0,0.8,6.0,14.3,-1.5,21.26
19810328,0.0,2.5,8.3,17.7,-0.5,21.25
19810329,0.0,3.8,9.0,16.1,3.5,15.01
19810330,1.6,2.0,11.9,17.5,6.9,17.38
19810331,0.0,2.0,10.0,19.0,1.8,21.21
19810401,0.0,1.8,11.5,19.4,3.0,20.47
19810402,0.0,1.8,11.6,22.8,2.0,20.73
19810403,0.0,2.5,16.6,22.8,8.1,22.44
19810404,0.0,2.5,15.0,24.1,5.9,22.71
19810405,0.0,4.0,9.2,22.3,6.0,6.15
19810406,0.1,2.0,9.4,13.6,3.4,14.43
19810407,0.0,1.5,8.4,16.8,-0.3,21.3
19810408,0.0,1.8,11.1,18.1,4.5,18.45
19810409,0.1,1.3,12.0,16.5,7.6,16.61
19810410,0.0,2.3,12.4,19.6,4.5,22.22
19810411,1.8,2.0,8.7,17.5,6.0,6.45
19810412,0.1,2.0,9.4,17.8,3.0,18.53
19810413,1.6,2.5,6.9,13.8,2.5,23.29
19810414,0.0,2.0,9.1,14.7,1.7,20.67
19810415,10.4,3.3,8.3,14.4,7.2,6.64
19810416,5.8,2.0,7.9,12.3,4.0,17.66
19810417,0.1,2.8,7.1,12.5,1.0,18.04
19810418,0.3,1.5,10.3,17.0,2.0,25.33
19810419,0.0,1.3,12.2,20.5,4.3,23.28
19810420,0.0,1.8,15.8,24.5,7.2,23.52
19810421,1.8,1.8,13.4,22.2,9.7,6.91
19810422,0.0,2.0,13.1,19.1,7.2,24.79
19810423,0.0,2.0,13.6,20.9,5.3,18.5
19810424,0.0,1.5,18.0,23.9,11.6,17.01
19810425,2.3,3.0,13.8,23.3,9.5,16.61
19810426,0.8,1.0,14.5,19.7,8.7,23.1
19810427,0.0,2.8,17.9,26.2,8.4,26.79
19810428,0.0,6.3,23.7,30.3,17.2,27.19
19810429,0.0,6.0,24.9,29.9,21.0,26.48
19810430,0.6,2.3,14.3,25.6,10.0,12.97
19810501,0.0,1.8,9.5,20.6,-1.3,23.0
19810502,0.0,2.0,16.6,23.0,11.3,24.65
19810503,0.0,3.0,20.3,26.7,14.8,25.68
19810504,0.0,2.0,20.4,32.2,10.5,27.34
19810505,0.0,3.0,27.2,33.9,18.5,25.18
19810506,0.0,3.5,23.2,31.5,17.0,23.0
19810507,0.1,4.0,22.4,26.4,17.9,22.58
19810508,0.0,2.0,22.1,30.3,13.3,27.61
19810509,0.0,2.0,20.9,29.0,12.8,21.41
19810510,0.1,3.0,21.8,26.7,17.0,7.95
19810511,0.5,2.3,17.7,24.0,15.2,15.39
19810512,1.4,1.5,11.4,16.3,6.7,16.08
19810513,0.0,1.3,12.5,22.4,2.2,28.24
19810514,0.0,2.0,19.2,27.9,10.6,27.81
19810515,0.0,4.8,23.5,30.7,17.5,27.37
19810516,0.5,2.3,20.2,25.5,16.2,20.78
19810517,0.0,2.5,20.8,29.4,10.6,29.91
19810518,0.0,2.5,22.6,32.6,11.8,29.63
19810519,0.0,2.3,25.7,35.1,13.8,29.84
19810520,0.0,5.3,22.3,34.2,15.5,24.51
19810521,0.0,4.0,20.5,25.4,17.2,14.29
19810522,0.0,1.0,20.7,25.0,15.6,20.52
19810523,9.0,3.8,15.6,22.9,8.7,16.31
19810524,0.0,2.8,14.8,23.3,6.1,26.78
19810525,5.2,2.3,12.5,20.1,7.1,25.84
19810526,0.0,2.0,14.6,23.0,4.6,28.81
19810527,0.0,1.5,17.7,26.9,7.0,24.59
19810528,0.0,3.0,18.1,23.7,10.0,14.47
19810529,0.0,1.5,19.8,26.4,13.3,25.47
19810530,0.0,2.5,22.0,28.7,13.9,28.61
19810531,0.0,1.8,21.1,28.3,13.3,22.08
19810601,0.0,1.0,23.2,30.5,14.4,30.3
19810602,0.0,2.0,23.9,32.4,14.4,30.16
19810603,0.0,4.0,21.8,31.4,15.8,24.77
19810604,0.0,3.5,19.9,25.0,15.2,15.76
19810605,0.0,1.3,21.6,28.5,13.9,25.13
19810606,0.0,1.5,23.5,32.9,14.3,28.44
19810607,0.0,2.3,25.9,34.5,15.8,30.43
19810608,0.0,4.0,23.8,33.8,15.7,27.32
19810609,0.0,2.8,22.2,28.4,17.5,18.29
19810610,0.0,1.5,22.6,27.7,17.9,15.34
19810611,0.0,1.3,23.4,30.3,16.7,27.36
19810612,0.0,4.0,21.9,29.0,18.2,17.99
19810613,1.9,2.8,21.2,27.1,16.0,25.4
19810614,0.0,1.8,22.4,29.5,13.3,28.37
19810615,0.1,2.3,24.2,31.7,14.4,30.18
19810616,0.0,1.5,26.5,33.8,17.6,28.71
19810617,0.0,2.5,26.5,34.7,19.3,27.4
19810618,0.2,2.0,24.2,30.8,21.0,21.15
19810619,0.0,2.5,23.3,30.7,13.9,27.56
19810620,0.1,3.3,23.6,30.2,16.5,23.45
19810621,0.0,2.0,23.8,31.7,14.8,29.54
19810622,0.0,1.8,25.2,34.3,14.9,30.03
19810623,0.0,2.5,27.8,36.7,18.5,30.68
19810624,0.0,2.5,28.9,36.8,20.3,26.89
19810625,0.7,3.0,26.5,34.5,20.7,22.61
19810626,0.0,2.3,28.2,35.9,18.9,28.69
19810627,0.0,3.0,28.2,35.9,20.5,27.36
19810628,3.0,3.8,25.7,33.4,19.5,22.1
19810629,0.8,2.5,24.2,32.2,20.2,14.53
19810630,3.3,3.0,22.6,28.4,16.9,23.55
19810701,0.4,2.5,24.0,31.6,16.2,27.48
19810702,0.0,2.0,25.5,32.2,19.9,23.69
19810703,9.4,2.5,21.9,30.8,19.4,11.87
19810704,0.1,2.5,21.2,24.4,18.7,9.07
19810705,0.0,2.5,24.4,30.5,19.3,24.79
19810706,0.0,2.5,25.8,35.1,16.0,29.85
19810707,0.1,3.5,28.0,37.2,19.7,24.26
19810708,0.0,2.0,29.5,38.6,20.2,27.84
19810709,0.1,2.0,28.6,36.5,23.3,24.05
19810710,0.1,2.5,25.1,34.1,19.6,16.67
19810711,2.0,2.3,25.0,32.6,18.9,20.74
19810712,0.0,2.5,27.4,35.4,18.7,30.51
19810713,0.0,3.0,30.4,38.4,20.9,27.38
19810714,0.0,2.0,30.6,37.2,23.9,29.47
19810715,1.9,1.8,24.3,36.1,19.4,8.9
19810716,2.1,2.3,22.6,28.5,17.6,24.03
19810717,0.1,3.8,22.7,28.2,16.2,25.78
19810718,3.5,1.5,20.8,27.1,17.3,8.02
19810719,1.9,1.3,21.0,27.2,16.1,23.28
19810720,0.1,2.5,22.4,27.7,17.5,23.89
19810721,0.0,1.0,24.1,31.0,15.8,29.69
19810722,0.0,1.0,25.8,32.5,19.9,23.33
19810723,0.0,2.3,26.9,36.7,17.0,29.28
19810724,0.1,3.5,24.4,35.5,19.5,14.51
19810725,0.1,2.8,23.6,28.8,18.6,26.76
19810726,0.0,1.8,23.2,30.7,15.4,23.0
19810727,0.0,1.0,25.6,32.6,18.2,23.44
19810728,0.0,2.3,26.9,33.7,18.8,27.42
19810729,0.1,2.3,24.9,32.6,20.7,17.55
19810730,0.0,2.5,25.6,30.7,20.2,21.85
19810731,3.3,1.8,21.0,29.0,18.4,7.69
19810801,0.0,1.8,21.6,30.5,12.4,28.95
19810802,0.0,2.5,25.6,34.8,16.6,27.45
19810803,0.0,3.0,27.7,34.4,21.3,27.07
19810804,0.1,2.8,25.5,33.2,22.2,11.23
19810805,0.1,1.5,24.9,31.7,16.9,28.06
19810806,0.0,2.0,24.5,31.6,17.4,24.18
19810807,0.0,1.8,23.9,31.8,16.2,25.23
19810808,1.8,1.5,23.7,30.9,16.2,23.58
19810809,0.1,1.5,25.1,33.4,16.2,26.36
19810810,0.0,2.3,26.7,35.8,17.9,27.23
19810811,0.0,1.3,26.5,33.7,18.4,23.06
19810812,0.2,2.0,24.9,31.5,20.1,16.08
19810813,0.1,2.8,23.1,28.5,15.8,19.16
19810814,0.1,2.5,23.7,30.5,16.8,26.76
19810815,0.0,1.8,24.5,32.5,16.3,25.74
19810816,0.0,2.3,25.4,33.5,17.6,25.35
19810817,0.1,1.0,26.4,31.2,21.9,21.85
19810818,0.0,2.0,25.1,33.0,16.8,25.49
19810819,0.0,1.3,25.4,34.0,16.2,24.78
19810820,0.4,2.8,21.8,31.3,18.2,7.58
19810821,0.1,1.3,20.9,27.4,13.3,22.76
19810822,0.7,2.0,22.5,29.3,17.3,19.76
19810823,0.0,2.0,23.1,30.4,16.0,21.83
19810824,0.1,3.8,24.3,31.0,17.7,25.09
19810825,1.5,3.0,20.8,29.3,16.8,17.55
19810826,7.4,1.5,21.1,27.0,15.0,20.8
19810827,0.1,2.0,21.9,28.0,16.0,22.53
19810828,0.0,2.3,22.9,30.3,15.2,23.04
19810829,0.0,2.3,22.5,31.1,14.4,23.54
19810830,0.1,3.0,22.3,29.0,18.2,11.76
19810831,0.2,2.3,18.5,23.2,15.8,15.73
19810901,0.9,2.0,13.7,18.2,10.0,21.59
19810902,0.1,2.0,14.3,21.0,6.2,18.53
19810903,0.0,1.5,14.7,22.8,6.3,23.6
19810904,0.0,2.3,16.0,22.8,9.0,19.96
19810905,0.0,1.8,15.9,20.2,11.3,14.74
19810906,0.0,2.3,16.6,24.5,9.0,23.4
19810907,0.0,1.3,17.8,26.6,9.2,23.0
19810908,0.0,2.3,18.7,28.0,9.8,22.73
19810909,0.0,1.5,20.8,29.4,12.6,22.04
19810910,0.0,2.5,21.4,30.3,11.4,22.21
19810911,0.0,1.8,21.0,29.6,13.2,14.8
19810912,0.0,2.8,21.9,27.0,17.3,16.85
19810913,0.1,1.5,17.9,24.0,14.8,8.96
19810914,0.0,2.0,19.1,28.9,10.4,21.71
19810915,0.0,2.0,21.9,30.3,13.7,21.03
19810916,0.0,1.3,25.2,33.7,14.1,18.25
19810917,0.0,0.8,21.7,29.4,15.8,10.09
